"fdc_id","data_type","description","food_category_id","publication_date"
"320374","market_acquisition","Beef, eye of round steak, raw (ES36-R-22) ","13","2019-04-01"
"320375","market_acquisition","Beef, eye of round steak, raw (ES36-R-23) ","13","2019-04-01"
"320376","market_acquisition","Beef, eye of round steak, raw (ES36-R-28) ","13","2019-04-01"
"320377","market_acquisition","Beef, eye of round steak, raw (ES36-R-29) ","13","2019-04-01"
"320378","market_acquisition","Beef, eye of round steak, raw (ES36-R-35) ","13","2019-04-01"
"320379","market_acquisition","Beef, eye of round steak, raw (ES36-R-36) ","13","2019-04-01"
"320380","sub_sample_food","Se - Beef,  Eye of Round roast/steak, select, raw, comp13, lean","13","2019-04-01"
"320381","sub_sample_food","Minerals - Beef,  Eye of Round roast/steak, select, raw, comp13, lean","13","2019-04-01"
"320382","sample_food","Beef, Eye of Round roast/steak, lean only, raw, animal 10, select","13","2019-04-01"
"320383","sub_sample_food",,"13","2019-04-01"
"320384","sample_food","Beef, Eye of Round roast/steak, select, raw, comp5, lean (36BRERS/37BRERRS)","13","2019-04-01"
"320385","sub_sample_food","B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp5, lean","13","2019-04-01"
"320386","sub_sample_food","FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean","13","2019-04-01"
"320387","sub_sample_food","Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean","13","2019-04-01"
"320388","sample_food","Beef, Eye of Round roast/steak, lean only, raw, animal 11, select","13","2019-04-01"
"320389","sub_sample_food","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select","13","2019-04-01"
"320390","sample_food","Beef, Eye of Round roast/steak, lean only, raw, animal 16, select","13","2019-04-01"
"320391","sub_sample_food","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select","13","2019-04-01"
"320392","sample_food","Beef, Eye of Round roast/steak, lean only, raw, animal 17, select","13","2019-04-01"
"320393","sub_sample_food","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select","13","2019-04-01"
"320394","sample_food","Beef, Eye of Round roast/steak, lean only, raw, animal 18, select","13","2019-04-01"
"320395","sub_sample_food","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select","13","2019-04-01"
"320396","sample_food","Beef, Eye of Round roast/steak, select, raw, comp6, lean (36BRERS/37BRERRS)","13","2019-04-01"
"320397","sub_sample_food","B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp6, lean","13","2019-04-01"
"320398","sub_sample_food","Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean","13","2019-04-01"
"320399","sub_sample_food","FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean","13","2019-04-01"
"320400","sample_food","Beef, Eye of Round roast/steak, lean only, raw, animal 22, select","13","2019-04-01"
"320401","sub_sample_food","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select","13","2019-04-01"
"320402","sample_food","Beef, Eye of Round roast/steak, lean only, raw, animal 23, select","13","2019-04-01"
"320403","sub_sample_food","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select","13","2019-04-01"
"320404","sample_food","Beef, Eye of Round roast/steak, lean only, raw, animal 28, select","13","2019-04-01"
"320405","sub_sample_food","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select","13","2019-04-01"
"320406","sample_food","Beef, Eye of Round roast/steak, lean only, raw, animal 29, select","13","2019-04-01"
"320407","sub_sample_food","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select","13","2019-04-01"
"320408","sample_food","Beef, Eye of Round roast/steak, lean only, raw, animal 35, select","13","2019-04-01"
"320409","sub_sample_food","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select","13","2019-04-01"
"320410","sample_food","Beef, Eye of Round roast/steak, lean only, raw, animal 36, select","13","2019-04-01"
"320411","sub_sample_food","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select","13","2019-04-01"
"320413","sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320414","market_acquisition",,"11","2019-04-01"
"320415","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320416","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320417","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320418","sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320419","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320420","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320421","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320422","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320423","sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320424","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320425","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320426","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320427","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320428","sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320429","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320430","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320431","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320432","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320433","sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320434","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320435","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320436","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320437","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320438","sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320439","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320440","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320441","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320442","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320443","sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320444","market_acquisition",,"11","2019-04-01"
"320445","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320446","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320447","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320448","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320449","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320450","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320451","sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320452","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320453","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320454","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320455","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320456","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320457","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320458","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320459","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320460","sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320461","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320462","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320463","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320464","market_acquisition","TOMATOES, GRAPE","11","2019-04-01"
"320465","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320466","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320467","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320468","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320469","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320470","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320471","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320472","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320473","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320474","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320475","sub_sample_food","TOMATOES, GRAPE","11","2019-04-01"
"320476","sample_food","TOMATOES, GRAPE","11","2019-04-01"
